Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,0
Lush Pagoda,Australia,Oceania,Adventure,126.4,Autumn,4.8,1.71,0
Mystic Park,Australia,Oceania,Religious,201.63,Autumn,4.0,1.24,0
Lush Valley,Australia,Oceania,Nature,202.92,Spring,4.0,4.23,0
Grand Ruins,Australia,Oceania,Adventure,194.3,Summer,4.5,3.81,0
Ancient Park,Australia,Oceania,Adventure,146.87,Winter,4.8,6.84,1
Crystal Pagoda,Australia,Oceania,Nature,140.65,Spring,4.5,3.56,0
Hidden Ruins,Australia,Oceania,City,128.63,Autumn,4.3,7.36,0
Lush Pagoda,Australia,Oceania,Religious,164.49,Winter,4.4,9.49,1
Crystal Plaza,Australia,Oceania,Nature,79.62,Winter,4.3,6.62,0
Lush Beach,Australia,Oceania,Nature,217.07,Summer,4.2,3.32,0
Ancient Plaza,Australia,Oceania,Historical,203.23,Summer,4.5,7.46,0
Mystic Park,Australia,Oceania,Religious,95.95,Winter,4.8,9.28,0
Mystic Temple,Australia,Oceania,City,264.94,Summer,4.4,8.8,0
Ancient Ruins,Australia,Oceania,Adventure,99.69,Autumn,4.2,2.72,0
Crystal Ruins,Australia,Oceania,Beach,199.22,Summer,4.4,9.47,0
Mystic Falls,Australia,Oceania,Adventure,115.52,Summer,4.6,8.27,1
Ancient Ruins,Australia,Oceania,Historical,101.65,Summer,4.5,2.8,0
Sacred Pagoda,Australia,Oceania,Adventure,98.42,Autumn,4.3,8.0,0
Golden Canyon,Australia,Oceania,City,88.71,Winter,4.1,9.88,0
Golden Beach,Australia,Oceania,Beach,163.83,Summer,4.3,4.72,0
Grand Pagoda,Australia,Oceania,Nature,198.82,Winter,4.8,9.92,0
Grand Pagoda,Australia,Oceania,City,233.63,Winter,4.6,4.92,0
Lush Plaza,Australia,Oceania,Religious,154.09,Autumn,4.5,4.12,0
Mystic Beach,Australia,Oceania,Beach,149.65,Spring,4.9,1.23,1
Grand Park,Australia,Oceania,Historical,162.35,Summer,4.5,5.82,0
Golden Canyon,Australia,Oceania,Nature,119.41,Spring,4.5,1.83,1
Golden Plaza,Australia,Oceania,City,134.54,Summer,4.3,8.12,0
Hidden Pagoda,Australia,Oceania,Adventure,190.02,Summer,4.7,6.76,1
Crystal Temple,Australia,Oceania,Historical,67.99,Autumn,4.0,1.13,0
Crystal Park,Australia,Oceania,Religious,213.73,Spring,4.7,3.5,0
Hidden Pagoda,Australia,Oceania,Adventure,122.79,Spring,4.5,1.56,0
Mystic Park,Australia,Oceania,Beach,131.24,Summer,4.4,6.41,0
Lush Plaza,Australia,Oceania,Adventure,174.91,Winter,4.8,4.19,0
Serene Falls,Australia,Oceania,Beach,108.24,Summer,5.0,1.78,0
Hidden Falls,Australia,Oceania,City,135.3,Summer,4.5,8.47,1
Grand Pagoda,Australia,Oceania,Religious,173.68,Winter,4.2,2.2,1
Grand Beach,Australia,Oceania,Historical,110.0,Summer,4.5,4.18,0
Sacred Ruins,Australia,Oceania,Beach,175.54,Winter,4.8,8.06,0
Golden Valley,Australia,Oceania,Adventure,238.44,Winter,4.4,4.2,0
Golden Temple,Australia,Oceania,Historical,194.77,Winter,4.3,9.97,1
Sacred Forest,Australia,Oceania,Beach,131.15,Spring,4.4,8.36,0
Sacred Canyon,Australia,Oceania,Beach,181.78,Autumn,4.3,9.34,0
Ancient Forest,Australia,Oceania,City,179.32,Spring,4.4,1.48,1
Grand Valley,Australia,Oceania,Historical,135.69,Summer,3.9,9.32,0
Mystic Park,Australia,Oceania,Religious,161.45,Summer,3.9,7.13,0
Grand Plaza,Australia,Oceania,Religious,229.49,Summer,4.7,3.97,1
Lush Park,Australia,Oceania,Adventure,175.28,Spring,4.9,8.37,1
Lush Valley,Australia,Oceania,Adventure,58.42,Autumn,4.2,6.14,0
Mystic Valley,Australia,Oceania,Adventure,192.63,Spring,5.0,4.37,0
Golden Forest,Australia,Oceania,Historical,216.85,Winter,4.9,8.09,0
Grand Pagoda,Australia,Oceania,City,151.11,Autumn,4.1,3.47,0
Mystic Pagoda,Australia,Oceania,Historical,179.82,Autumn,4.3,9.14,0
Grand Valley,Australia,Oceania,Religious,217.07,Summer,4.3,9.02,1
Sacred Valley,Australia,Oceania,Adventure,74.59,Spring,4.2,1.09,0
Golden Forest,Australia,Oceania,Nature,120.35,Autumn,4.6,8.47,1
Grand Plaza,Australia,Oceania,Adventure,88.33,Winter,4.1,6.4,1
Sacred Forest,Australia,Oceania,Nature,200.09,Spring,4.4,0.51,1
Crystal Forest,Australia,Oceania,Beach,196.0,Summer,4.4,9.1,0
Hidden Canyon,Australia,Oceania,City,124.82,Summer,4.5,3.1,0
Sacred Park,Australia,Oceania,Historical,110.0,Summer,3.9,8.56,1
Golden Park,Australia,Oceania,Historical,246.17,Winter,4.3,4.66,1
Ancient Pagoda,Australia,Oceania,Nature,130.19,Autumn,4.3,2.42,1
Lush Plaza,Australia,Oceania,Nature,153.99,Spring,4.2,9.18,0
Crystal Temple,Australia,Oceania,Historical,240.67,Autumn,4.4,9.85,0
Lush Plaza,Australia,Oceania,Beach,101.39,Autumn,4.8,2.25,1
Crystal Ruins,Australia,Oceania,Beach,71.33,Autumn,4.1,3.5,0
Ancient Canyon,Australia,Oceania,Beach,191.98,Winter,4.1,3.74,0
Crystal Temple,Australia,Oceania,Nature,184.64,Spring,4.8,6.34,1
Serene Beach,Australia,Oceania,Adventure,203.93,Winter,4.4,5.18,1
Mystic Canyon,Australia,Oceania,Historical,136.72,Winter,4.4,9.52,0
Grand Pagoda,Australia,Oceania,City,160.05,Summer,4.4,4.32,0
Mystic Falls,Australia,Oceania,Nature,96.79,Spring,4.5,4.31,0
Crystal Forest,Australia,Oceania,Beach,186.55,Autumn,4.7,9.69,0
Serene Canyon,Australia,Oceania,Adventure,113.23,Winter,4.5,5.74,1
Crystal Pagoda,Australia,Oceania,Nature,92.56,Spring,4.6,3.88,0
Serene Ruins,Australia,Oceania,Religious,151.54,Autumn,3.8,7.39,0
Ancient Valley,Australia,Oceania,Nature,183.82,Winter,4.4,6.08,0
Hidden Falls,Australia,Oceania,City,51.27,Spring,4.3,7.59,0
Crystal Ruins,Australia,Oceania,Religious,230.94,Winter,4.6,6.79,0
Crystal Valley,Australia,Oceania,Adventure,204.21,Summer,4.6,5.03,1
Crystal Canyon,Australia,Oceania,Religious,206.82,Winter,4.2,8.81,0
